i: 177, m: 0.0025171286692257035, v: 1.6868304384046545e-6
i: 178, m: 0.002819976187808303, v: 2.3098985198819806e-6
i: 179, m: 0.0027069293873201524, v: 2.372846916125114e-6
i: 180, m: 0.0027487934116405053, v: 1.7794111188140342e-6
i: 181, m: 0.002666889072308928, v: 2.2882824523151188e-6
i: 182, m: 0.0024621178958873302, v: 1.689574128555485e-6
i: 183, m: 0.0028642249103700565, v: 2.267969283426756e-6
i: 184, m: 0.00269998106038447, v: 1.8984458653977552e-6
i: 185, m: 0.002782385419663345, v: 3.1261070260627087e-6
i: 186, m: 0.002985704602660056, v: 1.7857340518874359e-6
i: 187, m: 0.0027273027693401207, v: 3.464795684797822e-6
i: 188, m: 0.00251572627734672, v: 1.58726506402853e-6
i: 189, m: 0.002962226805771478, v: 2.5658335213892167e-6
i: 190, m: 0.00219933740758986, v: 1.3480896782933625e-6
i: 191, m: 0.002675630337483731, v: 1.5715798587426267e-6
i: 192, m: 0.0026354423319563886, v: 2.545956129924278e-6
i: 193, m: 0.002611494240129935, v: 2.170724439633384e-6
i: 194, m: 0.0024929943476089973, v: 1.7209735304460552e-6
i: 195, m: 0.002476272589337114, v: 1.873666620282344e-6
i: 196, m: 0.0028310092807876303, v: 1.5267377664886524e-6
i: 197, m: 0.0028117727300162087, v: 1.8790475891729055e-6
i: 198, m: 0.0026152292472659874, v: 1.9043027172396594e-6
i: 199, m: 0.0025679662399107446, v: 2.082761944945723e-6
i: 200, m: 0.0026080514630888235, v: 2.0560904544470665e-6
i: 201, m: 0.0023952588488204297, v: 1.9916517441309066e-6
i: 202, m: 0.0027801712618614137, v: 2.327873364752944e-6
i: 203, m: 0.0024640163266325503, v: 2.300175175848415e-6
i: 204, m: 0.00268041105130536, v: 1.9387155093262186e-6
i: 205, m: 0.0025028870080475584, v: 1.8882850687255018e-6
i: 206, m: 0.002621954123763555, v: 2.0990191430228473e-6
i: 207, m: 0.002814296337909084, v: 2.9815782454504747e-6
i: 208, m: 0.0029152806252987287, v: 1.890839888945984e-6
i: 209, m: 0.0026222651948810496, v: 2.5233414419615094e-6
i: 210, m: 0.002580096237122978, v: 1.9731576250392527e-6
i: 211, m: 0.0027590228659888495, v: 1.8955389782761266e-6
i: 212, m: 0.0028039328168810718, v: 2.3813934304188627e-6
i: 213, m: 0.002413851330913875, v: 1.3724695585332037e-6
i: 214, m: 0.0029823219708905147, v: 1.8560770624351256e-6
i: 215, m: 0.0026303982570936644, v: 2.0794913220138768e-6
i: 216, m: 0.002417056269197461, v: 2.421381447159325e-6
i: 217, m: 0.002421490187853701, v: 1.6637074667004558e-6
i: 218, m: 0.0027666512152072, v: 2.13563836772599e-6
i: 219, m: 0.002840873313559074, v: 2.881258250499635e-6
i: 220, m: 0.0029347589886843032, v: 2.2846720726240717e-6
